name,time,flow_in,flow_out,pressure_in,pressure_out
branch33_seg0,7.5000000000000000e-01,5.9517724253628844e-05,5.9517724253505990e-05,7.9803956355887756e+04,7.6108559727743632e+04
branch33_seg0,1.0000000000000000e+00,5.9517724253390211e-05,5.9517724253449409e-05,7.9803956356082752e+04,7.6108559727960834e+04
branch34_seg0,0.0000000000000000e+00,6.5482275750743983e-05,6.5482275752553530e-05,5.8362262634644445e+04,5.4665282234407234e+04
branch34_seg0,2.5000000000000000e-01,6.5482275744564532e-05,6.5482275743779123e-05,5.8362262628181743e+04,5.4665282228246513e+04
branch34_seg0,5.0000000000000000e-01,6.5482275747499427e-05,6.5482275747829810e-05,5.8362262630859332e+04,5.4665282230781530e+04
branch34_seg0,7.5000000000000000e-01,6.5482275746094572e-05,6.5482275745961540e-05,5.8362262629786230e+04,5.4665282229776392e+04
branch34_seg0,1.0000000000000000e+00,6.5482275746779652e-05,6.5482275746829729e-05,5.8362262630202284e+04,5.4665282230159311e+04
branch35_seg0,0.0000000000000000e+00,6.5482275749305735e-05,6.5482275750743983e-05,6.0901186004143943e+04,5.8362262634644445e+04
branch35_seg0,2.5000000000000000e-01,6.5482275745206095e-05,6.5482275744564532e-05,6.0901185997561355e+04,5.8362262628181743e+04
branch35_seg0,5.0000000000000000e-01,6.5482275747219377e-05,6.5482275747499427e-05,6.0901186000296722e+04,5.8362262630859332e+04
branch35_seg0,7.5000000000000000e-01,6.5482275746213482e-05,6.5482275746094572e-05,6.0901185999195106e+04,5.8362262629786230e+04
branch35_seg0,1.0000000000000000e+00,6.5482275746731026e-05,6.5482275746779652e-05,6.0901185999625821e+04,5.8362262630202284e+04
branch36_seg0,0.0000000000000000e+00,6.5482275748292317e-05,6.5482275749305735e-05,6.2527268555888084e+04,6.0901186004143943e+04
branch36_seg0,2.5000000000000000e-01,6.5482275745666597e-05,6.5482275745206095e-05,6.2527268549267879e+04,6.0901185997561355e+04
branch36_seg0,5.0000000000000000e-01,6.5482275747013487e-05,6.5482275747219377e-05,6.2527268552021975e+04,6.0901186000296722e+04
branch36_seg0,7.5000000000000000e-01,6.5482275746303755e-05,6.5482275746213482e-05,6.2527268550910543e+04,6.0901185999195106e+04
branch36_seg0,1.0000000000000000e+00,6.5482275746692414e-05,6.5482275746731026e-05,6.2527268551346788e+04,6.0901185999625821e+04
branch37_seg0,0.0000000000000000e+00,6.5482275747617429e-05,6.5482275748292317e-05,6.3548854217457912e+04,6.2527268555888084e+04
branch37_seg0,2.5000000000000000e-01,6.5482275745976800e-05,6.5482275745666597e-05,6.3548854210830272e+04,6.2527268549267879e+04
branch37_seg0,5.0000000000000000e-01,6.5482275746872812e-05,6.5482275747013487e-05,6.3548854213588507e+04,6.2527268552021975e+04
branch37_seg0,7.5000000000000000e-01,6.5482275746366544e-05,6.5482275746303755e-05,6.3548854212474471e+04,6.2527268550910543e+04
branch37_seg0,1.0000000000000000e+00,6.5482275746664903e-05,6.5482275746692414e-05,6.3548854212912534e+04,6.2527268551346788e+04
branch38_seg0,0.0000000000000000e+00,6.5482275747031919e-05,6.5482275747617429e-05,6.4405159919798083e+04,6.3548854217457912e+04
